Event Name,TEMP ID,TEMP Validation Time,Status,Total Validado,TEMP Usuarios de Validadores
[VIE28NOV] NO NAME [SECRET LINE UP] [TECHNO] MVMNT,7586,"sábado, enero 1, 2000, 01:00",No Ingresado,55,
[VIE28NOV] NO NAME [SECRET LINE UP] [TECHNO] MVMNT,7586,"sábado, noviembre 29, 2025, 00:00",Validado,2,mvmnt.cxllective@gmail.com
[VIE28NOV] NO NAME [SECRET LINE UP] [TECHNO] MVMNT,7586,"sábado, noviembre 29, 2025, 01:00",Validado,10,mvmnt.cxllective@gmail.com
"19:26 y Yubik en La Plaza de la Musica, MDQ",6439,"sábado, enero 1, 2000, 01:00",No Ingresado,"1,732",
"19:26 y Yubik en La Plaza de la Musica, MDQ",6439,"domingo, noviembre 23, 2025, 23:00",Validado,28,validador.gral@gmail.com
"19:26 y Yubik en La Plaza de la Musica, MDQ",6439,"lunes, noviembre 24, 2025, 00:00",Validado,331,validador.gral@gmail.com
"19:26 y Yubik en La Plaza de la Musica, MDQ",6439,"lunes, noviembre 24, 2025, 01:00",Validado,540,validador.gral@gmail.com
"19:26 y Yubik en La Plaza de la Musica, MDQ",6439,"lunes, noviembre 24, 2025, 02:00",Validado,99,validador.gral@gmail.com
"19:26 y Yubik en La Plaza de la Musica, MDQ",6439,"lunes, noviembre 24, 2025, 03:00",Validado,6,validador.gral@gmail.com
28.11 | NICOLAS RADA EN FRUTA .,7510,"sábado, enero 1, 2000, 01:00",No Ingresado,400,
28.11 | NICOLAS RADA EN FRUTA .,7510,"viernes, noviembre 28, 2025, 23:00",Validado,3,acreditadorfruta@gmail.com
28.11 | NICOLAS RADA EN FRUTA .,7510,"sábado, noviembre 29, 2025, 00:00",Validado,8,pedritocarballo5@gmail.com
28.11 | NICOLAS RADA EN FRUTA .,7510,"sábado, noviembre 29, 2025, 00:00",Validado,100,acreditadorfruta@gmail.com
28.11 | NICOLAS RADA EN FRUTA .,7510,"sábado, noviembre 29, 2025, 01:00",Validado,11,pedritocarballo5@gmail.com
28.11 | NICOLAS RADA EN FRUTA .,7510,"sábado, noviembre 29, 2025, 01:00",Validado,76,acreditadorfruta@gmail.com
28.11 | NICOLAS RADA EN FRUTA .,7510,"sábado, noviembre 29, 2025, 02:00",Validado,26,acreditadorfruta@gmail.com
28.11 | NICOLAS RADA EN FRUTA .,7510,"sábado, noviembre 29, 2025, 03:00",Validado,5,acreditadorfruta@gmail.com
28.11 WASABI FEST en Temperley - Auditorio Sur,7353,"sábado, enero 1, 2000, 01:00",No Ingresado,85,
28.11 WASABI FEST en Temperley - Auditorio Sur,7353,"sábado, noviembre 29, 2025, 00:00",Validado,9,pabloandres500ar@gmail.com
28.11 WASABI FEST en Temperley - Auditorio Sur,7353,"sábado, noviembre 29, 2025, 01:00",Validado,291,pabloandres500ar@gmail.com
28.11 WASABI FEST en Temperley - Auditorio Sur,7353,"sábado, noviembre 29, 2025, 02:00",Validado,548,pabloandres500ar@gmail.com
28.11 WASABI FEST en Temperley - Auditorio Sur,7353,"sábado, noviembre 29, 2025, 03:00",Validado,7,pabloandres500ar@gmail.com
28.11 WASABI FEST en Temperley - Auditorio Sur,7353,"sábado, noviembre 29, 2025, 21:00",Validado,2,pabloandres500ar@gmail.com
29.11 | 300 NOCHES ANANÁ.,7630,"sábado, enero 1, 2000, 01:00",No Ingresado,29,
29.11 | 300 NOCHES ANANÁ.,7630,"domingo, noviembre 30, 2025, 01:00",Validado,1,acreditadorfruta@gmail.com
29.11 | 300 NOCHES ANANÁ.,7630,"domingo, noviembre 30, 2025, 02:00",Validado,14,acreditadorfruta@gmail.com
29.11 | 300 NOCHES ANANÁ.,7630,"domingo, noviembre 30, 2025, 03:00",Validado,5,acreditadorfruta@gmail.com
29.11 | 300 NOCHES ANANÁ.,7630,"domingo, noviembre 30, 2025, 04:00",Validado,1,acreditadorfruta@gmail.com
29.11 | CITRUS ,7613,"sábado, enero 1, 2000, 01:00",No Ingresado,16,
29.11 | CITRUS ,7613,"sábado, noviembre 29, 2025, 23:00",Validado,14,acreditadorfruta@gmail.com
29.11 | CITRUS ,7613,"domingo, noviembre 30, 2025, 00:00",Validado,13,acreditadorfruta@gmail.com
29.11 | CITRUS ,7613,"domingo, noviembre 30, 2025, 01:00",Validado,35,acreditadorfruta@gmail.com
29.11 | CITRUS ,7613,"domingo, noviembre 30, 2025, 02:00",Validado,10,acreditadorfruta@gmail.com
29.11 | CITRUS ,7613,"domingo, noviembre 30, 2025, 03:00",Validado,9,acreditadorfruta@gmail.com
"2GTHR Open Air PRE PARTY: JONATHAN KASPAR, TANTUM @ MOROCCO, Viernes 28/11",7455,"sábado, enero 1, 2000, 01:00",No Ingresado,"4,179",
